"Metacritic";"VariantCount";"Steam1";"Steam2";"Steam3";"Steam4";"Steam5";"Steam6";"Steam7";"Steam8";"Steam9";"Steam10"
"Worms 2";"0";;;;;;;;;;
"Worldy Cup";"0";;;;;;;;;;
"Worldwide Soccer Manager 2009";"0";;;;;;;;;;
"Worldwide Soccer Manager 2008";"0";;;;;;;;;;
"Worldwide Soccer Manager 2005";"0";;;;;;;;;;
"Worldwide Soccer";"0";;;;;;;;;;
"WorldShift";"1";"Worlds Adrift";;;;;;;;;
"Worlds of Chaos : Corruption";"0";;;;;;;;;;
"Worlds";"0";;;;;;;;;;
"WorldCraft";"1";"Worlds Adrift";;;;;;;;;
"World's Greatest Coasters";"0";;;;;;;;;;
"World War One";"2";"World War I";"World War II GI";;;;;;;;
"World War II: Road to Victory";"0";;;;;;;;;;
"World War II: Panzer Claws I & II";"0";;;;;;;;;;
"World War II: General Commander";"0";;;;;;;;;;
"World War II: Frontline Command";"0";;;;;;;;;;
"World War II Sniper: Call to Victory";"0";;;;;;;;;;
"World War II Online: Blitzkrieg";"0";;;;;;;;;;
"World War II Combat: Road to Berlin";"0";;;;;;;;;;
"World War II Combat: Iwo Jima";"0";;;;;;;;;;
"World War II Collection";"5";"Westward Collection";"Westward Collection";"Cake Mania Collection";"Cake Mania Collection";"World War II GI";;;;;
"World Tour Fishing";"0";;;;;;;;;;
"World Supremacy";"0";;;;;;;;;;
"World Sports Cars";"0";;;;;;;;;;
"World Soccer Winning Eleven 9";"0";;;;;;;;;;
"World Soccer Winning Eleven 8 International";"0";;;;;;;;;;
"World Soccer Winning Eleven 7 International";"0";;;;;;;;;;
"World Series of Poker: Tournament of Champions";"0";;;;;;;;;;
"World Series of Poker 2008: Battle for the Bracelets";"0";;;;;;;;;;
"World Series of Poker";"0";;;;;;;;;;
"World Racing 2";"0";;;;;;;;;;
"World Poker Championship";"0";;;;;;;;;;
"World of Zellians: Kingdom Builder";"0";;;;;;;;;;
"World of Warships";"0";;;;;;;;;;
"World of Warplanes";"0";;;;;;;;;;
"World of Warcraft: Wrath of the Lich King";"0";;;;;;;;;;
"World of Warcraft: Warlords of Draenor";"0";;;;;;;;;;
"World of Warcraft: The Burning Crusade";"0";;;;;;;;;;
